event_date,custom_session_id,revenue
2020-11-02,5906845.8126343817_4701788412,18.0
2020-11-02,5906845.8126343817_4701788412,17.0
2020-11-02,3051995.7094224224_5262596420,2.0
2020-11-02,3002649.2698625312_8042510456,18.0
2020-11-02,3002649.2698625312_8042510456,18.0
2020-11-02,1534773.3101496826_8122702140,48.0
2020-11-02,1534773.3101496826_8122702140,55.0
2020-11-02,82592841.5041495665_3276031553,24.0
2020-11-02,68765362.4595750694_9985233772,55.0
2020-11-02,41280451.5966697273_1856111846,56.0
2020-11-02,40419717.4317588714_8818428535,192.0
2020-11-02,40418512.3278126220_3337852004,24.0
2020-11-02,7853261.6242439603_2335401928,42.0
2020-11-02,3051995.7094224224_5262596420,30.0
2020-11-02,5963534.4700679023_7028532203,10.0
2020-11-02,5963534.4700679023_7028532203,10.0
2020-11-02,5963534.4700679023_7028532203,10.0
2020-11-02,5963534.4700679023_7028532203,10.0
2020-11-02,5448801.1228248851_2295198781,38.0
2020-11-02,1441375.7353918689_4180327122,55.0
2020-11-02,21503964.5896255118_9113246221,16.0
2020-11-02,62738775.4729752170_9929156751,12.0
2020-11-02,91518233.2791103693_2243068640,9.0
2020-11-02,83008565.9882087584_2170386425,18.0
2020-11-02,83008565.9882087584_2170386425,13.0
2020-11-02,21503964.5896255118_9113246221,19.0
2020-11-02,69986145.5399919143_1496238325,7.0
2020-11-02,69986145.5399919143_1496238325,4.0
2020-11-02,69986145.5399919143_1496238325,3.0
2020-11-02,69986145.5399919143_1496238325,7.0
2020-11-02,10295267.8818269139_3505934777,20.0
2020-11-02,10295267.8818269139_3505934777,14.0
2020-11-02,10295267.8818269139_3505934777,92.0
2020-11-02,10295267.8818269139_3505934777,12.0
2020-11-02,4941025.1037689726_9596889496,10.0
2020-11-02,4941025.1037689726_9596889496,10.0
2020-11-02,4941025.1037689726_9596889496,48.0
2020-11-02,4941025.1037689726_9596889496,19.0
2020-11-02,1482564.3987701428_713903810,25.0
2020-11-02,1482564.3987701428_713903810,60.0
2020-11-02,1482564.3987701428_713903810,58.0
2020-11-02,1482564.3987701428_713903810,8.0
2020-11-02,87326376.7596593080_7732140469,24.0
2020-11-02,87326376.7596593080_7732140469,92.0
2020-11-02,87326376.7596593080_7732140469,96.0
2020-11-02,62738775.4729752170_9929156751,17.0
2020-11-02,62738775.4729752170_9929156751,30.0
2020-11-03,65608889.8290462049_9942564250,14.0
2020-11-03,1014825.0200289249_2716419230,44.0
2020-11-03,1014825.0200289249_2716419230,5.0
2020-11-03,1014825.0200289249_2716419230,44.0
2020-11-03,1014825.0200289249_2716419230,18.0
2020-11-03,1014825.0200289249_2716419230,18.0
2020-11-03,1014825.0200289249_2716419230,55.0
2020-11-03,7644052.7232523165_5197112166,8.0
2020-11-03,7644052.7232523165_5197112166,6.0
2020-11-03,7644052.7232523165_5197112166,2.0
2020-11-03,7644052.7232523165_5197112166,20.0
2020-11-03,7644052.7232523165_5197112166,6.0
2020-11-03,7644052.7232523165_5197112166,2.0
2020-11-03,2817763.0128046767_7057078843,7.0
2020-11-03,2817763.0128046767_7057078843,11.0
2020-11-03,2817763.0128046767_7057078843,6.0
2020-11-03,2817763.0128046767_7057078843,10.0
2020-11-03,2817763.0128046767_7057078843,1.0
2020-11-03,2817763.0128046767_7057078843,2.0
2020-11-03,2817763.0128046767_7057078843,14.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,48021850.9548849913_5130611909,7.0
2020-11-03,44771210.2314933209_1864880579,6.0
2020-11-03,44771210.2314933209_1864880579,3.0
2020-11-03,44771210.2314933209_1864880579,20.0
2020-11-03,44771210.2314933209_1864880579,3.0
2020-11-03,44771210.2314933209_1864880579,18.0
2020-11-03,44771210.2314933209_1864880579,2.0
2020-11-03,44771210.2314933209_1864880579,4.0
2020-11-03,44771210.2314933209_1864880579,14.0
2020-11-03,50924450.1711753621_3550907037,6.0
2020-11-03,45473624.1023516518_2145561301,18.0
2020-11-03,45473624.1023516518_2145561301,10.0
2020-11-03,43166184.7921844342_9917691822,3.0
2020-11-03,43166184.7921844342_9917691822,14.0
2020-11-03,26772644.3702713592_885006781,48.0
2020-11-03,26772644.3702713592_885006781,63.0
2020-11-03,53709875.3635794172_965453642,30.0
2020-11-03,53709875.3635794172_965453642,44.0
2020-11-03,52110755.0377972217_3013482824,2.0
2020-11-03,52110755.0377972217_3013482824,33.0
2020-11-03,50924450.1711753621_3550907037,48.0
2020-11-03,11258187.3799854087_2176825574,4.0
2020-11-03,11258187.3799854087_2176825574,9.0
2020-11-03,7757973.7783845224_7457893525,14.0
2020-11-03,7757973.7783845224_7457893525,14.0
2020-11-03,7576757.5213068778_1735884534,30.0
2020-11-03,7576757.5213068778_1735884534,5.0
2020-11-03,1257911.6384484937_6414738924,12.0
2020-11-03,1257911.6384484937_6414738924,10.0
2020-11-03,484269874.9639805856_944151590,130.0
2020-11-03,70711300.6204864553_3897549613,12.0
2020-11-03,30195839.9356669513_6645680673,48.0
2020-11-03,19388075.6152731843_4021180275,37.0
2020-11-03,16462431.2283594309_6753782001,30.0
2020-11-03,16187714.7521852436_3923495153,55.0
2020-11-03,8760245.3046399244_5963467674,48.0
2020-11-03,8606659.7522752353_500848217,12.0
2020-11-03,6674901.0569662140_1546090085,30.0
2020-11-03,5969629.0738022380_7037735941,24.0
2020-11-03,4050591.4743585452_9536962946,32.0
2020-11-03,3662209.5712951495_5574991365,12.0
2020-11-03,81444980.8487304711_5300609164,32.0
2020-11-03,81444980.8487304711_5300609164,55.0
2020-11-03,83151527.5488193754_946887875,22.0
2020-11-03,83151527.5488193754_946887875,22.0
2020-11-03,3047630756.3515974247_6572648419,14.0
2020-11-03,3047630756.3515974247_6572648419,18.0
2020-11-03,2276343.3518223441_5124568891,14.0
2020-11-03,2276343.3518223441_5124568891,16.0
2020-11-03,2276343.3518223441_5124568891,10.0
2020-11-03,2798155.8136359339_4411502029,3.0
2020-11-03,2798155.8136359339_4411502029,2.0
2020-11-03,2798155.8136359339_4411502029,4.0
2020-11-03,2798155.8136359339_4411502029,2.0
2020-11-03,2798155.8136359339_4411502029,4.0
2020-11-03,2798155.8136359339_4411502029,3.0
2020-11-03,2798155.8136359339_4411502029,3.0
2020-11-03,2798155.8136359339_4411502029,2.0
2020-11-03,2798155.8136359339_4411502029,4.0
2020-11-03,37070311.8314414799_494184727,17.0
2020-11-03,37070311.8314414799_494184727,16.0
2020-11-03,37070311.8314414799_494184727,19.0
2020-11-03,51622008.5857082333_1768812614,60.0
2020-11-03,51622008.5857082333_1768812614,41.0
2020-11-03,51622008.5857082333_1768812614,41.0
2020-11-03,81324083.4482184297_9922892629,30.0
2020-11-03,81324083.4482184297_9922892629,30.0
2020-11-03,81324083.4482184297_9922892629,60.0
2020-11-03,3855098781.8871500534_2302429440,41.0
2020-11-03,3855098781.8871500534_2302429440,8.0
2020-11-03,3855098781.8871500534_2302429440,41.0
2020-11-03,1482564.3987701428_9623272902,25.0
